Month,Yit,EPU_Index
1994-10-01,0.619838451151886,42.22760909093841
1994-11-01,0.7747980639398575,52.78451136367301
1994-12-01,0.46487883836391447,31.670706818203808
1995-01-01,0.7747980639398575,52.78451136367301
1995-03-01,0.309919225575943,21.113804545469204
1995-04-01,0.9297576767278289,63.341413636407616
1995-05-01,0.309919225575943,21.113804545469204
1995-06-01,0.46487883836391447,31.670706818203808
1995-07-01,0.619838451151886,42.22760909093841
1995-08-01,0.46487883836391447,31.670706818203808
1995-09-01,0.1549596127879715,10.556902272734602
1995-10-01,0.46487883836391447,31.670706818203808
1995-11-01,0.1549596127879715,10.556902272734602
1995-12-01,0.1549596127879715,10.556902272734602
1996-01-01,0.46487883836391447,31.670706818203808
1996-02-01,0.309919225575943,21.113804545469204
1996-03-01,0.619838451151886,42.22760909093841
1996-04-01,0.619838451151886,42.22760909093841
1996-05-01,0.7747980639398575,52.78451136367301
1996-06-01,0.7747980639398575,52.78451136367301
1996-07-01,0.46487883836391447,31.670706818203808
1996-08-01,0.9297576767278289,63.341413636407616
1996-09-01,0.619838451151886,42.22760909093841
1996-10-01,0.46487883836391447,31.670706818203808
1996-11-01,0.7747980639398575,52.78451136367301
1996-12-01,0.619838451151886,42.22760909093841
1997-01-01,1.239676902303772,84.45521818187682
1997-02-01,0.7747980639398575,52.78451136367301
1997-03-01,0.619838451151886,42.22760909093841
1997-04-01,0.9297576767278289,63.341413636407616
1997-05-01,0.1549596127879715,10.556902272734602
1997-06-01,0.619838451151886,42.22760909093841
1997-07-01,0.619838451151886,42.22760909093841
1997-08-01,2.1694345790316008,147.79663181828442
1997-09-01,1.2322273062260378,83.94770105306472
1997-10-01,1.0422525882799405,71.00533177655251
1997-11-01,3.4143282021825616,232.6072484886904
1997-12-01,2.4644546124520756,167.89540210612944
1998-01-01,3.696681918678113,251.84310315919413
1998-02-01,2.9293334508159896,199.5661089243332
1998-03-01,1.8595153534556579,126.68282727281523
1998-04-01,2.224565597192384,151.55253156821541
1998-05-01,3.1893383790783387,217.27941220840063
1998-06-01,4.696469805722193,319.9554508031569
1998-07-01,2.42943950729395,165.50993510235185
1998-08-01,1.7395708458258121,118.51139200385822
1998-09-01,1.7395708458258121,118.51139200385822
1998-10-01,2.809388943186144,191.3946736553762
1998-11-01,2.534484822768327,172.66633611368462
1998-12-01,2.5493840149237954,173.68137037130884
1999-01-01,2.8943183456578643,197.18064192055564
1999-02-01,1.8520657573779236,126.1753101440031
1999-03-01,1.8595153534556579,126.68282727281523
1999-04-01,1.0847172895158004,73.89831590914221
1999-05-01,1.6546414433540924,112.72542373867883
1999-06-01,1.9645606689300354,133.83922828414805
1999-07-01,2.5419344188460613,173.17385324249673
1999-08-01,1.154747499832052,78.66924991669741
1999-09-01,1.6196263381959664,110.33995673490121
1999-10-01,1.6196263381959664,110.33995673490121
1999-11-01,0.9997878870440804,68.1123476439628
1999-12-01,1.3447222177781493,91.6116191932096
2000-01-01,1.090297777298825,74.27849667430836
2000-02-01,1.3060256177675054,88.97534373246467
2000-03-01,0.8426804816309158,57.40912313643217
2000-04-01,1.0605561147247895,72.25229242938453
2000-05-01,2.711209018027429,184.7059897047836
2000-06-01,1.690941451044856,115.19842703803046
2000-07-01,2.73455242146618,186.29630104063537
2000-08-01,1.835354178664647,125.03680379305754
2000-09-01,1.5876350425195416,108.16049218954072
2000-10-01,2.33698702913575,159.21144377788198
2000-11-01,1.697339710180141,115.63431994710257
2000-12-01,1.6698476807084948,113.76137600261539
2001-01-01,2.26552495706937,154.34296161379612
2001-02-01,2.551283007854302,173.81074267950763
2001-03-01,3.34942447523291,228.18556537903237
2001-04-01,2.623562851272943,178.73493698749948
2001-05-01,3.738488934543156,254.6912812932336
2001-06-01,1.768187691848653,120.46096609856372
2001-07-01,2.0758572843222063,141.42151034359625
2001-08-01,1.7206831136188914,117.22463128295429
2001-09-01,1.861414346386164,126.812199581014
2001-10-01,2.6779328198183667,182.4389888638491
2001-11-01,2.3341233056354924,159.0163474648206
2001-12-01,2.0433988574654043,139.21022164656767
2002-01-01,0.8950496167686373,60.976864638942374
2002-02-01,0.5851303911926943,39.86306009347317
2002-03-01,1.1525997072068588,78.52292768190138
2002-04-01,1.0450428321714529,71.19542215913559
2002-05-01,0.619838451151886,42.22760909093841
2002-06-01,0.8426804816309158,57.40912313643217
2002-07-01,1.7398778910247463,118.53231001017059
2002-08-01,3.632654208584969,247.48110027315715
2002-09-01,1.5849182782367748,107.97540773743599
2002-10-01,1.5421465318019807,105.06150559853391
2002-11-01,1.5254349530887037,103.92299924758831
2002-12-01,1.5268668148388327,104.02054740411901
2003-01-01,2.750883475371777,187.40888345479024
2003-02-01,1.8175912630089206,123.82667322237191
2003-03-01,1.7051698310655548,116.16776101270536
2003-04-01,0.8150866116820735,55.52924112630438
2003-05-01,1.9748005088992817,134.5368357955432
2003-06-01,0.5231638673520453,35.641479227354814
2003-07-01,1.197212201067912,81.56223404928711
2003-08-01,2.3243941918195725,158.35353409101904
2003-09-01,0.9976400944188872,67.96602540916676
2003-10-01,0.9201602880249016,62.68757427279947
2003-11-01,0.7747980639398575,52.78451136367301
2003-12-01,2.9442326429714583,200.58114318195743
2004-01-01,1.8595153534556579,126.68282727281523
2004-02-01,1.2300795136008444,83.80137881826867
2004-03-01,1.3075593199948303,89.07982995463598
2004-04-01,1.2322273062260378,83.94770105306472
2004-05-01,1.4625189327828017,99.63673222737057
2004-06-01,1.5886863794619908,108.23211640928074
2004-07-01,1.6853609632618316,114.81824627286434
